run	final_round	accuracy	loss	json
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-44	20	0.934375	0.31456311298534273	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-44.json
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42	20	0.4984375	1.1741622775793075	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.json
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-43	20	0.359375	1.1851451575756073	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-43.json
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-44	20	0.4953125	1.0595332950353622	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-44.json
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42	20	0.9546875	0.66376755728852	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.json
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-43	20	0.9390625	0.43286938095698135	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-43.json
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-44	20	0.9546875	0.5916550347930751	results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-44.json
main__homogeneous__vanilla__fedavg__noise-0.01__seed-42	20	0.9609375	0.15919359670951963	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.json
main__homogeneous__vanilla__fedavg__noise-0.01__seed-43	20	0.94375	0.3629816941800527	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.json
main__homogeneous__vanilla__fedavg__noise-0.01__seed-44	20	0.9546875	0.3653107556514442	results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-44.json
