run	status	exit_code	duration_seconds	accuracy	loss	json	log
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42	PASS	0	current-attempt	0.9546875	0.66376755728852	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedavg__noise-0.01__seed-43	PASS	0	current-attempt	0.94375	0.3629816941800527	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43	PASS	0	current-attempt	0.8984375	0.308837766200304	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43	PASS	0	current-attempt	0.9375	0.3733043486252427	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedprox__noise-0.01__seed-43	PASS	0	current-attempt	0.5328125	0.9261418014764786	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedopt__noise-0.01__seed-43	PASS	0	current-attempt	0.4953125	1.071137297153473	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43	PASS	0	current-attempt	0.9390625	0.4779103420863976	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedavg__noise-0.01__seed-43	PASS	0	current-attempt	0.934375	0.30373870697803795	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43	PASS	0	current-attempt	0.7515625	0.5576686561107635	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43	PASS	0	current-attempt	0.9265625	0.35366105642169715	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedprox__noise-0.01__seed-43	PASS	0	303	0.540625	0.9330323934555054	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedprox__noise-0.01__seed-43	PASS	0	341	0.528125	0.9586720436811447	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedopt__noise-0.01__seed-43	PASS	0	345	0.359375	35.809368419647214	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43	PASS	0	294	0.946875	0.3768413831014186	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43	PASS	0	218	0.9359375	0.306721996422857	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedopt__noise-0.01__seed-43	FAIL	137	875			/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.log
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43	PASS	0	current-attempt	0.946875	0.3768413831014186	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43	PASS	0	current-attempt	0.9359375	0.306721996422857	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-43.log
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43	PASS	0	229	0.76875	0.5410368517041206	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-43.log
