run	status	exit_code	duration_seconds	accuracy	loss	macro_f1	macro_precision	macro_auc	run_json	evaluation_json	predictions	log	note
main__homogeneous__global-dp__fedopt__noise-0.01__seed-42	PASS	0	157	0.4953125	44.07766399383545	0.16562173458725182	0.123828125	0.5	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42	PASS	0	112	0.9421875	0.7045598860830069	0.9112924348109115	0.9202233804482112	0.9828600237298025	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42	PASS	0	111	0.9375	0.2972146149724722	0.9439519609299888	0.9499588274044796	0.9852097671985509	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42	PASS	0	145	0.7984375	0.5147020578384399	0.5824059668986916	0.5792344773874745	0.9414722059658178	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42	PASS	0	158	0.9390625	0.3087122214958072	0.9464252957464324	0.9505287782140204	0.9834966434705018	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42	FAIL	1	85						/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.log	training-failed
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42	PASS	0	123	0.496875	1.1864126831293107	0.16795948124400006	0.37402190923317685	0.5155942186306421	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42	PASS	0	116	0.95625	0.42855026770048427	0.9619277108433735	0.9703137796887796	0.9891394576289261	/teamspace/studios/this_studio/results/runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedavg__noise-0.01__seed-43	PASS	0	113	0.9453125	0.3479290551156737	0.8934486755214844	0.8611847904389887	0.987118152626344	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43	PASS	0	112	0.9	0.30932481586933136	0.7366817463995899	0.914417118580271	0.9813108624742863	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43	PASS	0	112	0.9390625	0.3673592613195069	0.9390218725670849	0.9311321508334791	0.9852180859147174	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedprox__noise-0.01__seed-43	PASS	0	111	0.5328125	0.9329842895269393	0.27832063162317355	0.2580666237786981	0.7285587463706453	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-43.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedopt__noise-0.01__seed-43	PASS	0	114	0.4953125	44.07766399383545	0.16562173458725182	0.123828125	0.5	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-43.log	trained-evaluated-model-deleted
