homogeneous	global-dp	fedprox	42	0.003	appendix-b
homogeneous	global-dp	fedopt	42	0.003	appendix-b
homogeneous	global-dp	fedyogi	42	0.003	appendix-b
homogeneous	metric-privacy	fedavg	42	0.003	appendix-b
homogeneous	metric-privacy	fedavgm	42	0.003	appendix-b
homogeneous	metric-privacy	fedmedian	42	0.003	appendix-b
homogeneous	metric-privacy	fedprox	42	0.003	appendix-b
homogeneous	metric-privacy	fedopt	42	0.003	appendix-b
homogeneous	metric-privacy	fedyogi	42	0.003	appendix-b
homogeneous	global-dp	fedavg	42	0.05	appendix-b
homogeneous	global-dp	fedavg	42	0.1	appendix-b
